X,Y,Support,X Freq,Confidence,Rule
357,{356},59,67,0.8805970149253731,357 -> {356}
1370,{1036},51,58,0.8793103448275862,1370 -> {1036}
2640,{1210},51,58,0.8793103448275862,2640 -> {1210}
49272,{356},65,74,0.8783783783783784,49272 -> {356}
1213,{296},108,123,0.8780487804878049,1213 -> {296}
919,{260},50,57,0.8771929824561403,919 -> {260}
74458,{79132},50,57,0.8771929824561403,74458 -> {79132}
1089,{296},112,128,0.875,1089 -> {296}
6377,{356},91,104,0.875,6377 -> {356}
153,{592},90,103,0.8737864077669902,153 -> {592}
2628,{260},90,103,0.8737864077669902,2628 -> {260}
2628,{2571},90,103,0.8737864077669902,2628 -> {2571}
1387,{260},62,71,0.8732394366197183,1387 -> {260}
1387,{1196},62,71,0.8732394366197183,1387 -> {1196}
33493,"{1210, 260}",55,63,0.873015873015873,"33493 -> {1210, 260}"
33493,"{1210, 1196, 260}",55,63,0.873015873015873,"33493 -> {1210, 1196, 260}"
364,{356},94,108,0.8703703703703703,364 -> {356}
454,{457},53,61,0.8688524590163934,454 -> {457}
1240,{2571},105,121,0.8677685950413223,1240 -> {2571}
2115,{1291},85,98,0.8673469387755102,2115 -> {1291}
2115,{1198},85,98,0.8673469387755102,2115 -> {1198}
2115,{260},85,98,0.8673469387755102,2115 -> {260}
2115,{1196},85,98,0.8673469387755102,2115 -> {1196}
300,{296},65,75,0.8666666666666667,300 -> {296}
6333,{2571},58,67,0.8656716417910447,6333 -> {2571}
2291,{356},64,74,0.8648648648648649,2291 -> {356}
367,{356},64,74,0.8648648648648649,367 -> {356}
49272,{2571},64,74,0.8648648648648649,49272 -> {2571}
70286,{2571},51,59,0.864406779661017,70286 -> {2571}
5218,{4306},63,73,0.863013698630137,5218 -> {4306}
8874,{2571},63,73,0.863013698630137,8874 -> {2571}
2640,"{1210, 1196}",50,58,0.8620689655172413,"2640 -> {1210, 1196}"
337,{296},62,72,0.8611111111111112,337 -> {296}
4262,{296},55,64,0.859375,4262 -> {296}
33493,"{1210, 2571, 260}",54,63,0.8571428571428571,"33493 -> {1210, 2571, 260}"
33493,"{260, 1210, 2571, 1196}",54,63,0.8571428571428571,"33493 -> {260, 1210, 2571, 1196}"
44191,{2571},83,97,0.8556701030927835,44191 -> {2571}
5349,{2571},83,97,0.8556701030927835,5349 -> {2571}
2916,"{1196, 260}",65,76,0.8552631578947368,"2916 -> {1196, 260}"
2916,"{2571, 1196}",65,76,0.8552631578947368,"2916 -> {2571, 1196}"
111,{593},65,76,0.8552631578947368,111 -> {593}
555,{296},52,61,0.8524590163934426,555 -> {296}
21,{296},69,81,0.8518518518518519,21 -> {296}
5378,{260},63,74,0.8513513513513513,5378 -> {260}
5378,{1196},63,74,0.8513513513513513,5378 -> {1196}
2353,{2571},51,60,0.85,2353 -> {2571}
104,{356},62,73,0.8493150684931506,104 -> {356}
380,{260},56,66,0.8484848484848485,380 -> {260}
2115,{2571},83,98,0.8469387755102041,2115 -> {2571}
1291,{260},115,136,0.8455882352941176,1291 -> {260}
223,{296},71,84,0.8452380952380952,223 -> {296}
2700,{2571},60,71,0.8450704225352113,2700 -> {2571}
1387,"{1196, 260}",60,71,0.8450704225352113,"1387 -> {1196, 260}"
5418,{2571},87,103,0.8446601941747572,5418 -> {2571}
4262,{2571},54,64,0.84375,4262 -> {2571}
2329,{296},107,127,0.84251968503937,2329 -> {296}
2918,{356},80,95,0.8421052631578947,2918 -> {356}
2916,{1210},64,76,0.8421052631578947,2916 -> {1210}
1258,{296},79,94,0.8404255319148937,1258 -> {296}
4973,{356},68,81,0.8395061728395061,4973 -> {356}
2683,{260},68,81,0.8395061728395061,2683 -> {260}
1291,{1196},114,136,0.8382352941176471,1291 -> {1196}
5378,{1210},62,74,0.8378378378378378,5378 -> {1210}
