itemset,Support
"(50, 296, 2571)",103
"(296, 318, 356, 593)",103
"(593, 1196, 2571)",103
"(260, 1196, 1210, 1291)",103
"(1210, 1270)",103
"(50, 2858)",103
"(47, 50, 296)",103
"(260, 296, 1196, 1210)",103
"(260, 318, 1210)",103
"(1, 150)",103
"(356, 780)",103
"(260, 1198, 1210, 2571)",103
"(260, 593, 1210)",103
"(5418,)",103
"(356, 4226)",103
"(356, 588)",103
"(2628,)",103
"(153,)",103
"(356, 593, 2571)",103
"(260, 527)",103
"(260, 4306)",102
"(4878,)",102
"(260, 1265)",102
"(4896,)",102
"(318, 4993)",102
"(260, 1197)",102
"(1, 296, 318)",102
"(593, 780)",102
"(1196, 1198, 1210, 2571)",102
"(260, 1196, 1198, 1291)",102
"(50, 589)",102
"(1, 1198)",102
"(296, 1198, 2571)",102
"(1214, 2571)",102
"(47, 296, 356)",102
"(47, 2858)",102
"(593, 1196, 1210)",102
"(589, 1210, 2571)",102
"(110, 296)",102
"(260, 648)",101
"(590, 592)",101
"(2,)",101
"(318, 2329)",101
"(296, 318, 593, 2571)",101
"(858, 2858)",101
"(260, 1240)",101
"(260, 1196, 1198, 1210, 2571)",101
"(296, 318, 592)",101
"(293, 296)",101
"(318, 58559)",101
"(588, 593)",101
"(587,)",101
"(1196, 1240)",101
"(1036, 1196)",101
"(260, 1196, 2858)",101
"(593, 2571, 2858)",101
"(318, 2959)",101
"(1196, 1197)",101
"(260, 1210, 1270)",101
"(260, 593, 1198)",101
"(260, 318, 356)",101
"(260, 1196, 1270)",100
"(1197, 1198)",100
"(260, 780, 1210)",100
"(296, 589, 2571)",100
"(318, 1196, 1210)",100
"(318, 593, 2858)",100
"(296, 1210, 2571)",100
"(356, 1210, 2571)",100
"(858, 1198)",100
"(260, 1214)",100
"(50, 608)",100
"(608, 2571)",100
"(50, 318, 2571)",100
"(260, 318, 1196, 2571)",100
"(1, 260, 1196)",100
"(296, 356, 1196)",100
"(47, 527)",100
"(110, 2571)",100
"(780, 2571)",100
"(1270, 2571)",100
"(588, 589)",100
"(1, 588)",100
"(1198, 1210, 1291)",99
"(2571, 4886)",99
"(260, 296, 593, 1196)",99
"(50, 318, 356)",99
"(318, 1198, 2571)",99
"(32, 296, 318)",99
"(260, 296, 318, 1196)",99
"(60069,)",99
"(608, 2858)",99
"(50, 260, 1196)",99
"(260, 1036)",99
"(2329, 2571)",99
"(150, 590)",99
"(318, 79132)",99
"(6,)",99
"(4306, 4886)",99
"(296, 356, 589)",99
"(47, 592)",99
"(296, 318, 356, 2571)",99
"(318, 593, 1196)",98
"(608, 1196)",98
"(296, 593, 608)",98
"(1196, 1210, 1270)",98
"(260, 356, 1196, 2571)",98
"(296, 318, 858)",98
"(296, 1196, 1198)",98
"(7438,)",98
"(356, 1265)",98
"(293, 318)",98
"(1222,)",98
"(2115,)",98
"(778,)",98
"(68954,)",98
"(527, 589)",98
"(260, 296, 2858)",98
"(260, 318, 1196, 1210)",98
"(260, 593, 1196, 1210)",98
"(1, 1196, 1210)",98
"(1210, 2858)",98
"(47, 1196)",98
"(1, 648)",98
"(1196, 1198, 1210, 1291)",98
"(1198, 1270)",98
"(47, 296, 589)",98
"(110, 589)",98
"(260, 1198, 1210, 1291)",97
"(50, 1198)",97
"(260, 1196, 1210, 1270)",97
"(260, 296, 318, 593)",97
"(1198, 2858)",97
"(296, 592, 593)",97
"(260, 1196, 1214)",97
"(296, 2571, 2762)",97
"(296, 4306)",97
"(1, 4306)",97
"(50, 318, 527)",97
"(5349,)",97
"(32, 296, 593)",97
"(260, 296, 1196, 1198)",97
"(32, 47)",97
"(32, 50)",97
"(1, 32)",97
"(318, 593, 858)",97
"(260, 318, 1198)",97
"(318, 1210, 2571)",97
"(260, 589, 1210, 2571)",97
"(44191,)",97
"(296, 1221)",97
"(296, 589, 592)",97
"(780, 1196)",97
"(58559, 79132)",97
"(1198, 1291, 2571)",97
"(296, 356, 2858)",97
"(589, 1291)",97
"(260, 356, 593)",96
"(296, 318, 527, 593)",96
"(1210, 1240)",96
"(260, 2571, 2858)",96
"(260, 1196, 1198, 1210, 1291)",96
"(318, 527, 2571)",96
"(589, 1196, 1210, 2571)",96
"(589, 1240, 2571)",96
"(50, 1089)",96
"(47, 260, 2571)",96
"(6539,)",96
"(47, 260, 1196)",96
"(2571, 5445)",96
"(539,)",96
"(329,)",96
"(150, 527)",96
"(260, 4993)",96
"(527, 1196)",96
"(593, 4226)",96
"(589, 648)",96
"(356, 1196, 1210, 2571)",96
"(260, 1196, 1240)",96
"(318, 593, 608)",96
"(296, 318, 608)",96
"(260, 356, 1198)",96
"(527, 858)",96
"(260, 296, 589)",96
"(2858, 4226)",96
"(32, 2571)",96
"(1265, 2571)",96
"(260, 858, 1210)",96
"(318, 356, 1196)",96
"(50, 296, 527)",96
"(2571, 7361)",96
"(318, 2571, 2762)",96
"(356, 2571, 2762)",96
"(527, 2762)",96
"(260, 608, 1196)",96
"(260, 1196, 2762)",96
"(50, 260, 296)",96
"(296, 356, 593, 2571)",95
"(260, 1036, 1196)",95
"(1210, 2762)",95
"(1036, 1210)",95
"(110, 318)",95
"(356, 592)",95
"(161,)",95
"(47, 593, 2571)",95
"(4306, 8961)",95
"(608, 1198)",95
"(1196, 1200)",95
"(2918,)",95
"(1, 260, 1196, 1210)",95
"(608, 1210)",95
"(260, 296, 318, 2571)",95
"(260, 589, 1198)",95
"(260, 858, 2571)",95
"(260, 356, 1210, 2571)",95
"(296, 356, 527)",95
"(260, 296, 356, 1196)",95
"(260, 296, 593, 2571)",95
"(296, 318, 589, 593)",95
"(260, 593, 1196, 2571)",95
"(318, 1213)",95
"(32, 780)",95
"(260, 296, 1210, 2571)",95
"(296, 593, 858)",95
"(260, 589, 1196, 1210, 2571)",95
"(356, 527, 593)",95
"(296, 356, 1210)",95
"(1036, 1198)",94
"(260, 1200)",94
"(1258,)",94
"(1196, 1291, 2571)",94
"(593, 1196, 1198)",94
"(593, 1213)",94
"(318, 858, 2571)",94
"(593, 1089)",94
"(260, 589, 1240)",94
"(296, 1193)",94
"(296, 1196, 1210, 2571)",94
"(292,)",94
"(4306, 4993)",94
"(260, 296, 858)",94
"(356, 364)",94
"(318, 356, 589)",94
"(260, 1221)",94
"(589, 2762)",94
"(110, 260)",94
"(110, 593)",94
"(1196, 1265)",94
"(527, 2858)",94
"(260, 1291, 2571)",94
"(593, 2571, 2762)",93
"(47, 2571, 2858)",93
"(356, 527, 2571)",93
"(318, 2571, 4226)",93
"(296, 2571, 4226)",93
"(1, 318, 356)",93
"(1089, 2858)",93
"(1200, 2571)",93
"(1198, 2762)",93
"(50, 296, 2858)",93
"(260, 356, 1196, 1198)",93
"(47, 318, 2571)",93
"(260, 2571, 2762)",93
"(1221, 2571)",93
"(1197, 2571)",93
"(260, 1196, 1197)",93
"(260, 1089)",93
"(1, 296, 593)",93
"(1200, 1214)",93
"(47, 318, 356)",93
"(296, 593, 2762)",93
"(260, 356, 1196, 1210, 2571)",93
"(318, 1265)",93
"(356, 1196, 1198)",93
"(296, 1089, 2571)",93
"(589, 1196, 1198)",93
"(858, 1196, 1210)",93
"(296, 356, 608)",93
"(2329, 2858)",93
"(589, 1196, 1240)",93
"(47, 1089)",93
"(296, 318, 1198)",93
"(296, 648)",93
"(296, 593, 1198)",93
"(858, 1213)",93
"(356, 2571, 2858)",93
"(50, 1213)",93
"(2571, 6874)",93
"(589, 1198, 2571)",93
"(296, 858, 2571)",93
"(3114,)",93
"(593, 1210, 2571)",93
"(296, 1270)",93
"(32, 356)",92
"(296, 318, 590)",92
"(1198, 1214)",92
"(608, 858)",92
"(260, 593, 2858)",92
"(1198, 1240)",92
"(260, 593, 1196, 1198)",92
"(260, 296, 1196, 1210, 2571)",92
"(296, 318, 1210)",92
"(1196, 4306)",92
"(47, 608)",92
"(260, 780, 1196)",92
"(47, 50, 318)",92
"(1210, 1291, 2571)",92
"(296, 1291)",92
"(47, 260, 296)",92
"(296, 2959)",92
"(32, 296, 589)",92
"(1, 296, 2571)",92
"(47, 296, 527)",92
"(1196, 2571, 2858)",92
"(50, 296, 589)",92
"(260, 592)",92
"(589, 1036)",92
"(150, 318, 593)",92
"(150, 296, 593)",92
"(260, 296, 356, 2571)",92
"(1704,)",92
"(296, 1036)",92
"(260, 296, 608)",92
"(260, 318, 593, 1196)",92
"(593, 1198, 2571)",92
"(593, 1214)",92
"(165, 296)",92
"(356, 1198, 2571)",92
"(648, 1210)",92
"(541, 2571)",92
"(318, 356, 1210)",91
"(50, 296, 858)",91
"(296, 318, 2571, 2858)",91
"(260, 318, 858)",91
"(589, 858)",91
"(318, 356, 858)",91
"(318, 1193)",91
"(293, 593)",91
"(296, 589, 1196)",91
"(50, 296, 1196)",91
"(356, 4993)",91
"(1210, 1214)",91
"(47, 1198)",91
"(589, 590)",91
"(318, 7361)",91
"(260, 589, 1196, 1198)",91
"(50, 1210)",91
"(356, 6377)",91
"(260, 1196, 1291, 2571)",91
"(296, 4993)",91
"(1210, 1265)",91
"(318, 2571, 4306)",91
"(1198, 1265)",91
"(318, 589, 2571)",91
"(296, 608, 2858)",91
"(1, 260, 1198)",91
"(50, 592)",91
"(349,)",91
"(1, 592)",91
"(589, 592, 593)",91
"(50, 260, 2571)",91
"(260, 858, 1221)",91
"(1, 356, 2571)",91
"(1089, 1196)",91
"(356, 597)",91
"(296, 1196, 2858)",91
"(8368,)",91
"(50, 356, 2571)",91
"(50, 296, 318, 356)",91
"(50, 356, 593)",91
"(1196, 1210, 1240)",91
"(47, 1196, 2571)",91
"(296, 858, 1221)",91
"(318, 1270)",91
"(260, 1210, 1240)",91
"(47, 50, 593)",91
"(260, 1036, 1210)",91
"(260, 1136)",91
"(47, 356, 2571)",91
"(1036, 1196, 1210)",91
"(47, 296, 2858)",91
"(589, 593, 2571)",91
"(1036, 1291)",91
"(296, 527, 2571)",91
"(780, 1196, 1210)",91
"(260, 1196, 1265)",91
"(50, 296, 608)",91
"(1210, 4306)",91
"(318, 356, 2858)",91
"(260, 296, 356, 1210)",91
"(296, 318, 593, 2858)",91
"(318, 1196, 1198)",91
"(260, 318, 1210, 2571)",91
"(2571, 2628)",90
"(260, 2628)",90
"(47, 296, 593, 2571)",90
"(47, 356, 593)",90
"(260, 1210, 1291, 2571)",90
"(260, 1198, 1270)",90
"(110, 1210)",90
"(296, 1240)",90
"(50, 296, 1089)",90
"(356, 1197)",90
"(296, 1136)",90
"(318, 592, 593)",90
"(50, 260, 318)",90
"(150, 318, 356)",90
"(1, 1270)",90
"(296, 2329, 2571)",90
"(318, 1221)",90
"(1198, 4993)",90
"(47, 150)",90
"(1196, 2571, 2762)",90
"(1, 296, 356)",90
"(1136, 1196)",90
"(1196, 1210, 1291, 2571)",90
"(260, 1210, 2858)",90
"(153, 592)",90
"(47, 589, 593)",90
"(1, 50)",90
"(296, 778)",90
"(296, 318, 593, 1196)",90
"(296, 318, 1196, 2571)",90
"(296, 593, 2571, 2858)",90
"(260, 318, 1196, 1198)",90
"(541, 1196)",90
"(296, 356, 1196, 1210)",90
"(47, 2762)",90
"(296, 593, 1210)",90
"(260, 4226)",90
"(296, 1265)",90
"(260, 2571, 4306)",90
"(318, 1089)",90
"(296, 593, 1089)",90
"(260, 858, 1196, 1210)",90
"(1193, 2571)",90
"(296, 356, 1198)",90
"(858, 1196, 2571)",90
"(296, 318, 4226)",90
"(260, 589, 1196, 1240)",90
"(260, 296, 1198, 2571)",90
"(318, 1196, 1210, 2571)",90
"(296, 356, 858)",90
"(296, 356, 1196, 2571)",90
"(165, 589)",90
"(318, 4886)",90
"(356, 589, 2571)",90
"(356, 593, 1196)",90
"(2571, 5952)",90
"(260, 608, 1210)",90
"(293, 2571)",90
"(260, 318, 356, 1196)",90
"(356, 1036)",89
"(260, 1036, 2571)",89
"(296, 593, 1196, 2571)",89
"(50, 593, 2571)",89
"(50, 296, 318, 2571)",89
"(47, 260, 1196, 2571)",89
"(260, 1196, 1210, 1240)",89
"(47, 1210)",89
"(589, 1200)",89
"(356, 589, 593)",89
"(1196, 1210, 2858)",89
"(165, 592)",89
"(589, 1210, 1240)",89
"(2571, 2716)",89
"(110, 296, 356)",89
"(318, 593, 1198)",89
"(47, 50, 296, 318)",89
"(1, 260, 780)",89
"(589, 2858)",89
"(1, 260, 356)",89
"(1196, 1240, 2571)",89
"(260, 541)",89
"(608, 1089)",89
"(50, 1221)",89
"(2571, 8961)",89
"(1196, 4993)",89
"(39,)",89
"(260, 318, 2858)",89
"(47, 858)",89
"(260, 1196, 1198, 1270)",89
"(32, 47, 296)",89
"(47, 4226)",89
"(32, 318, 593)",89
"(356, 1291)",89
"(260, 780, 1196, 1210)",89
"(593, 4306)",89
"(260, 1210, 1265)",89
"(47, 296, 318, 2571)",89
"(1, 260, 2571)",89
"(260, 589, 593)",89
"(593, 858, 2571)",89
"(593, 4993)",89
"(260, 356, 858)",89
"(1213, 2571)",89
"(356, 590)",89
"(260, 593, 858)",89
"(260, 1213)",89
"(260, 648, 1210)",89
"(318, 3147)",89
"(1196, 1198, 1270)",89
"(592, 1196)",88
"(457, 593)",88
"(356, 2571, 4226)",88
"(1270, 1291)",88
"(858, 1221, 2571)",88
"(260, 858, 1198)",88
"(2571, 33794)",88
"(858, 2762)",88
"(1, 2762)",88
"(50, 260, 593)",88
"(260, 1036, 1196, 1210)",88
"(1196, 4226)",88
"(1, 318, 593)",88
"(1, 47)",88
"(1196, 1210, 1214)",88
"(260, 1196, 1210, 1291, 2571)",88
"(1136, 2571)",88
"(608, 1196, 1210)",88
"(50, 318, 858)",88
"(260, 356, 589)",88
"(260, 1089, 1196)",88
"(593, 648)",88
"(586,)",88
"(50, 260, 1210)",88
"(296, 1206)",88
"(260, 1196, 1200)",88
"(260, 1240, 2571)",88
"(1, 595)",88
"(1, 1196, 1198)",88
"(356, 1198, 1210)",88
"(356, 2571, 4306)",88
"(110, 1196)",88
"(1136, 1198)",88
"(260, 356, 1198, 1210)",88
"(47, 110)",88
"(260, 858, 1196, 2571)",88
"(589, 1214)",88
"(260, 318, 1196, 1210, 2571)",88
"(260, 296, 356, 1196, 1210)",88
"(339,)",88
"(858, 1193)",88
"(2571, 3147)",88
"(356, 593, 608)",88
"(1196, 1221)",88
"(32, 592)",88
"(50, 1196, 2571)",88
"(185,)",88
"(356, 858, 2571)",88
"(1, 527)",88
"(356, 3147)",88
"(260, 296, 318, 356)",88
"(589, 608)",88
"(260, 318, 593, 2571)",88
"(50, 150)",87
"(32, 608)",87
"(1036, 1196, 2571)",87
"(260, 1210, 1214)",87
"(296, 1089, 2858)",87
"(47, 293)",87
"(1198, 4306)",87
"(593, 1221)",87
"(260, 296, 1196, 2858)",87
"(296, 858, 2858)",87
"(260, 296, 318, 1210)",87
"(47, 318, 589)",87
"(260, 588)",87
"(32, 1210)",87
"(260, 2716)",87
"(2571, 2762, 2858)",87
"(32, 648)",87
"(260, 296, 589, 2571)",87
"(1210, 2571, 2858)",87
"(356, 1136)",87
"(296, 318, 1213)",87
"(165, 588)",87
"(296, 593, 4226)",87
"(593, 1196, 1210, 2571)",87
"(1, 356, 1210)",87
"(356, 593, 2858)",87
"(50, 260, 296, 1196)",87
"(296, 1214)",87
"(260, 2571, 4993)",87
"(296, 858, 1196)",87
"(260, 1196, 4306)",87
"(260, 1270, 2571)",87
"(318, 589, 592)",87
"(296, 318, 593, 858)",87
"(50, 2571, 2858)",87
"(858, 1210, 2571)",87
"(1, 1291)",87
"(47, 780)",87
"(356, 1089)",87
"(6874, 7438)",87
"(318, 356, 608)",87
"(1, 260, 1196, 1198)",87
"(593, 2959)",87
"(318, 2571, 4993)",87
"(356, 8961)",87
"(1196, 1214, 2571)",87
"(356, 1240)",87
"(1210, 2571, 2762)",87
"(260, 296, 589, 1196)",87
"(2571, 5418)",87
"(592, 780)",87
"(592, 595)",87
"(260, 1136, 1196)",87
"(260, 356, 1196, 1198, 1210)",87
"(318, 595)",87
"(296, 541)",87
"(1198, 1210, 1270)",87
"(296, 457)",87
"(47, 50, 296, 593)",87
"(260, 1197, 1198)",87
"(356, 593, 1210)",87
"(589, 593, 1196)",87
"(150, 780)",87
"(260, 356, 608)",87
"(260, 593, 608)",87
"(10, 589)",87
"(260, 1196, 2571, 2858)",87
"(457, 589)",87
"(356, 1196, 1198, 1210)",87
"(296, 608, 2571)",87
"(47, 260, 1210)",87
"(260, 1198, 1210, 1270)",87
"(1196, 1210, 1265)",87
"(296, 590, 593)",87
"(260, 527, 1196)",87
"(1197, 1210)",87
"(1036, 1210, 2571)",86
"(260, 1196, 1221)",86
"(1196, 1210, 2762)",86
"(356, 1270, 2571)",86
"(260, 356, 1270)",86
"(110, 356, 2571)",86
"(296, 318, 588)",86
"(260, 608, 1196, 1210)",86
"(593, 2329)",86
"(260, 1210, 2762)",86
"(260, 1036, 1196, 2571)",86
"(1196, 1198, 1210, 1270)",86
"(260, 1196, 1210, 2858)",86
"(260, 1196, 1198, 1210, 1270)",86
"(356, 79132)",86
"(356, 1193)",86
"(50, 296, 1213)",86
"(296, 318, 1089)",86
"(260, 589, 1210, 1240)",86
"(260, 296, 593, 1210)",86
"(318, 6874)",86
"(356, 7361)",86
"(1210, 1270, 2571)",86
"(318, 356, 593, 2571)",86
"(296, 593, 1213)",86
"(4993, 5952)",86
"(593, 1196, 2858)",86
"(260, 1210, 4306)",86
"(260, 1214, 2571)",86
"(1, 1196, 2571)",86
"(1196, 2716)",86
"(780, 1198)",86
"(296, 356, 2762)",86
"(1, 260, 296)",86
"(1196, 2571, 4306)",86
"(296, 1198, 1210)",86
"(2355,)",86
"(260, 1196, 4993)",86
"(356, 4886)",86
"(296, 595)",86
"(588, 590)",86
"(1210, 1240, 2571)",86
"(1, 2858)",86
"(68157,)",86
"(260, 318, 608)",86
"(1, 1210, 2571)",86
"(589, 1198, 1291)",86
"(2706,)",86
"(589, 1291, 2571)",86
"(356, 595)",86
"(1196, 1197, 1198)",86
"(260, 1196, 1210, 1265)",86
"(47, 296, 318, 356)",86
"(165, 318)",86
"(260, 318, 527)",86
"(593, 1265)",86
"(296, 597)",86
"(260, 296, 1198, 1210)",86
"(318, 356, 1198)",86
"(318, 356, 4226)",86
"(296, 356, 1210, 2571)",86
"(589, 1270)",86
"(589, 2571, 2762)",86
"(150, 260)",86
"(1580, 2571)",86
"(527, 593, 2571)",86
"(1198, 2115)",85
"(150, 589, 593)",85
"(50, 296, 356, 593)",85
"(32, 260, 1210)",85
"(356, 1214)",85
"(260, 2115)",85
"(356, 589, 1210)",85
"(356, 2329)",85
"(318, 1136)",85
"(318, 858, 1221)",85
"(1089, 1213)",85
"(1193, 2858)",85
"(1196, 1270, 2571)",85
"(50, 4226)",85
"(296, 318, 2329)",85
"(260, 589, 1198, 2571)",85
"(1196, 2115)",85
"(296, 593, 1196, 1210)",85
"(589, 1196, 1210, 1240)",85
"(50, 593, 1196)",85
"(296, 318, 1196, 1210)",85
"(208,)",85
"(47, 296, 1196)",85
"(50, 260, 356)",85
"(858, 1196, 1221)",85
"(356, 58559)",85
"(296, 58559)",85
"(589, 1196, 1291)",85
"(296, 7361)",85
"(296, 318, 593, 608)",85
"(1206, 2858)",85
"(50, 296, 318, 527)",85
"(260, 593, 1210, 2571)",85
"(1265, 1270)",85
"(260, 1197, 1210)",85
"(527, 1210)",85
"(593, 595)",85
"(318, 593, 1210)",85
"(260, 1196, 1240, 2571)",85
"(47, 260, 296, 2571)",85
"(1198, 1200)",85
"(260, 296, 2762)",85
"(50, 858, 1221)",85
"(47, 1196, 1210)",85
"(47, 296, 592)",85
"(32, 50, 296)",85
"(110, 260, 1210)",85
"(1, 356, 1196)",85
"(296, 356, 4226)",85
"(356, 648)",85
"(47, 296, 356, 2571)",85
"(1196, 1198, 1291, 2571)",85
"(260, 1198, 1291, 2571)",85
"(260, 608, 1198)",85
"(316, 589)",85
"(2858, 4306)",85
"(260, 589, 1291)",85
"(50, 1196, 1210)",85
"(1200, 1210)",85
"(1196, 2628)",85
"(296, 2571, 4306)",85
"(260, 296, 858, 1196)",85
"(32, 1196)",85
"(318, 356, 4306)",85
"(47, 590)",85
"(50, 589, 593)",85
"(296, 589, 1210)",85
"(260, 1196, 1210, 1214)",85
"(296, 318, 2762)",85
"(1291, 2115)",85
"(593, 1197)",85
"(260, 2571, 4226)",85
"(50, 296, 1198)",85
"(593, 1240)",85
"(589, 1198, 1210)",85
"(356, 4963)",85
"(318, 1197)",85
"(296, 1197)",85
"(296, 6874)",85
"(260, 318, 356, 2571)",85
"(356, 1210, 1270)",85
"(260, 296, 356, 1196, 2571)",85
"(47, 296, 1089)",85
"(50, 318, 2858)",85
